domain,question,answer,keywords
College,What are the admission requirements?,Admission requires a completed application form; official transcripts from your previous institution; standardized test scores (SAT/ACT for undergraduate or GRE/GMAT for graduate programs); two letters of recommendation; a personal statement; and a non-refundable application fee of $50. International students must also submit TOEFL/IELTS scores.,admission;requirements;apply;application;transcripts;test scores
College,What courses are offered in the Computer Science department?,The CS department offers a comprehensive curriculum including Introduction to Programming; Data Structures & Algorithms; Database Systems; Operating Systems; Computer Networks; Artificial Intelligence & Machine Learning; Software Engineering; Cybersecurity; Cloud Computing; and capstone project courses. Both B.Sc. and M.Sc. programs are available.,courses;computer science;programming;CS;curriculum;department
College,How do I apply for a scholarship?,Scholarships are awarded based on academic merit; financial need; and extracurricular involvement. Apply through the Student Financial Aid portal by March 15 each year. Required documents include your transcript; a 500-word essay; income verification; and two faculty recommendations. Results are announced by May 1.,scholarship;financial aid;merit;apply;funding;grant
College,What is the fee structure for undergraduate programs?,Tuition for undergraduate programs is $8;500 per semester for in-state students and $16;200 for out-of-state students. This includes tuition; library access; lab fees; and campus Wi-Fi. Hostel accommodation is an additional $2;800 per semester. Payment plans and EMI options are available through the bursar's office.,fees;tuition;cost;payment;undergraduate;semester
College,What are the hostel facilities like?,The campus offers four residential halls with single; double; and triple occupancy rooms. All rooms include air conditioning; high-speed Wi-Fi; study desks; and wardrobe storage. Common amenities include a 24/7 laundry room; shared kitchen; recreation lounge with TV; and a quiet study area. An RA is available on each floor.,hostel;accommodation;dormitory;rooms;housing;residential
College,When is the exam schedule released?,The exam schedule is published on the academic portal six weeks before finals week. Mid-term exams are typically held in weeks 7-8 of each semester; and final exams in weeks 15-16. Students can view their personalized timetable under the 'Examinations' tab. Supplementary exam dates are announced separately.,exams;schedule;finals;midterms;timetable;examination
College,How does the campus placement process work?,The Training & Placement Cell coordinates campus recruitment starting in the 7th semester. Over 120 companies visit annually; including Google; Microsoft; Infosys; and TCS. Students must maintain a minimum 6.5 CGPA and clear an aptitude pre-screening. The placement rate for the last batch was 92% with an average package of $72;000/year.,placement;jobs;campus;recruitment;career;hiring;companies
College,What library resources are available?,The central library has over 150;000 physical volumes and access to 50+ digital databases including IEEE Xplore; ACM Digital Library; Springer; and JSTOR. Operating hours are 8 AM to midnight on weekdays and 9 AM to 9 PM on weekends. Students can borrow up to 6 books for 14 days with online renewal.,library;books;resources;database;journals;study
College,How do I contact the student support center?,The Student Support Center is located in Building C; Room 105. Office hours are Monday to Friday; 9 AM to 5 PM. You can also email support@university.edu or call (555) 123-4567. For urgent matters outside office hours; contact the campus helpline at (555) 999-0000.,contact;support;help;student services;office;helpline
College,What extracurricular clubs are available?,The campus hosts 40+ student clubs including Coding Club; Robotics Society; Debate Team; Photography Club; Music Society; Drama Club; Sports Council; Entrepreneurship Cell; Volunteer Corps; and the Student Government Association. Club fair is held during orientation week each semester.,clubs;activities;extracurricular;sports;organizations;student life
HR,What is the company's leave policy?,Full-time employees receive 20 paid vacation days; 10 sick days; and 3 personal days per year. Vacation days accrue monthly and can carry over up to 5 days to the next year. Sick leave requires a medical certificate for absences exceeding 3 consecutive days. Leave requests should be submitted via the HR portal at least 2 weeks in advance for planned leave.,leave;vacation;sick;PTO;time off;absence;holiday
HR,How does the payroll cycle work?,Payroll is processed on the 25th of each month with direct deposit to your registered bank account by the last business day. Pay stubs are available on the HR portal under 'My Compensation.' Any discrepancies should be reported within 5 business days. Bonus payouts are processed separately in March and September.,payroll;salary;payment;pay stub;direct deposit;compensation
